Participant ID,Timing,Timing Follow,A. Why Timing Text
R_81THo4xsUVpXXcB,"After I finish the current task (e.g., finish writing (part of the) code)",🔔 Version 1,maybe i still think i need to go on and not give a long break so i dont want to hear details abt the notification yet
R_2gMhUIO2rdXJI86,"After I finish the current task (e.g., finish writing (part of the) code)",🔔 Version 1,"In break time, it can send me a notification, but I still prefer a ring. "
R_2FFYkvIS1B2cJA8,"After I finish the current task (e.g., finish writing (part of the) code)",🗣️🗣️ Version 3,"Difficult, since the task says it is urgent. But while I am working, I am not on the way to Lilly, so it can not be so urgent, that I need to disrupt work."
R_8Fa2s5gQHqby1xu,"After I finish the current task (e.g., finish writing (part of the) code)",🗣️🗣️ Version 3,easiest
R_8fj5FFM9mYzJUIB,"After I finish the current task (e.g., finish writing (part of the) code)",🔔 Version 1,After my task I accept being notified
R_8M5L4td0YhESZrq,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Wenn man eine Benachrichtigung in einer Fokusphase bekommt, dann aus guten Grund und mit Informationsgehalt und direkt."
R_8kgNWKVqvoxXNDa,Immediately,🗣️🗣️ Version 3,Better timing to focus on the message content
R_2X0TJXeOLFuPfSN,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I want to know what is so important for Lilly to send me an urgent message at that moment. 
R_2dssgsqa4HHmfgN,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I chose to hear the notification instantly because delaying it would only make me curious and distract me from my work. Getting the full context immediately kept my mind clear
R_40YDrxd2bce8vm3,Immediately,🗣️🗣️ Version 3,What if there is an emergency.
R_2L5aIHwYDvaCUSB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Handling of notifications is up to me.
R_2llCBFJ5a18v30L,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","ı would like to know immadiately, so I can manage my focus and time according to the importance of the massage"
R_8CDe1vDEJ4aMR4g,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",an urgent message is allowed to break the work flow
R_2bZQT5azTZaKdY5,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","No real reason to delay by a short time, since it will still be disruptive. If you want to delay messages until you finish the task you needn't wear Smart Glasses for that duration in the first place."
R_73f3igIb2AiZZTg,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Work in a quiet and familiar environment takes less priority than an urgent text
R_9hzrjMgz9jctbPT,Immediately,🗣️🗣️ Version 3,I prefer immediately so ill know if ill reply right away or not. I chose version 3 for delay so the message is already lay out instead of me having to pull out my phone to read.
R_6neGB6qI64zhSKo,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",There isn't any audio going on so I don't see a reason to delay the notification. I'll still hear it and will remember to check my phone later once I'm free and have a second to respond.
R_8vYaPDZjNmVualU,"Later, when I am done working",🗣️🗣️ Version 3,Too disruptive while working
R_2jcHCEFJA7BR0hI,"Later, when I am done working",🔔 Version 1,-
R_8uqW68lNo50I4DJ,"Later, when I am done working",🗣️🗣️ Version 3,After I'm done working I can check what messages I've received. Checking it in between tasks would be distracting too. 
R_8eXdWDp0BXIS3ih,"Later, when I am done working",🗣️🗣️ Version 3,immediate information
R_2zPlNCUbZ8JpWZB,"Later, when I am done working",🗣️ Version 2,I do not want to lose focus
R_8RkR5LJDCvufjIl,"Later, when I am done working",🗣️🗣️ Version 3,As before I believe when I am done working It can play version 3 the full information since then I have time again
R_2dh2IXdUglu1uYV,"Later, when I am done working",🗣️ Version 2,enough info without too much info
R_2j8rLZgGyZGgQoj,"Later, when I am done working",🗣️ Version 2,"I dont want a ai reading my text message, I can do that myself much quicker. knowing who it is already gives me enough information on the importance of the matter."
R_8mXGSIvo1Rmwtal,"Later, when I am done working","Not applicable (I chose ""Immediately"" in the previous question).",I would want to be distracted I dont need to focus
R_2aNAGlZgflVtY3v,"Later, when I am done working",🗣️🗣️ Version 3,because now i can read the message without disrupting my workflow
R_8TFKoOgxzhVrDgZ,"Later, when I am done working",🗣️🗣️ Version 3,"Wenn ich mit der Arbeit vollkommen fertig bin, stört mich die Benachrichtigung nicht mehr und ich möchte bei kurzen Nachrichten hören, was es wichtiges zu wissen gibt."
R_8jqw8UHg9aIIDRI,"Later, when I am done working",🗣️ Version 2,I want to finish my work without being distracted. I chose sound Version 2 for the same reasons as in my previous answer.
R_82PiWLNvqNB0Q5a,Other:,🔔 Version 1,"Same as prior (meeting, café)"
R_2qJWwhP8L0JTDwc,Other:,🔔 Version 1,need to focus on work when working
R_8TZerhduC2hcnKy,Other:,"Not applicable (I chose ""Immediately"" in the previous question).","see above
"
R_8DJWwh7dfICB7Db,When I briefly pause while writing / thinking,🔔 Version 1,It won't disturb my regular work.
R_8lxiIAjgBh6nS81,When I briefly pause while writing / thinking,🗣️🗣️ Version 3,"It's a question that doesn't require much thought and can be quickly answered so best to get it out of the way, considering it is urgent."
R_25HmpH2IIzw051s,When I briefly pause while writing / thinking,🗣️🗣️ Version 3,"If I take a brief pause, the message wouldn't be as distracting anymore and I would then like to receive information about sender and content as well, since it’s urgent"
R_8q9Kfy21k0hl6rF,When I briefly pause while writing / thinking,🗣️🗣️ Version 3,Because it is as soon as I can
R_8JCx6iV1TX1qGQN,When I briefly pause while writing / thinking,🗣️ Version 2,"Wenn ich nur kurz die Arbeit unterbreche, will ich dennoch möglichst im ""Flow"" bleiben. Längere Benachrichtigungen (Version 3) würden mich eher rausbringen und ablenken. Version 1 wäre zu wenig informativ, um entscheiden zu können, ob die Nachricht so dringend und wichtig ist, dass ich die Arbeit unterbrechen sollte, um die Nachricht zu lesen."
