Participant ID,Overall,B. Why Text
R_82PiWLNvqNB0Q5a,No audio notification at all,"When I am in a work meeting, I do not want to be disturbed - if there were an emergency, I know that Lilly would call me, but a simple private message has to wait until I have some time after the meeting."
R_2jcHCEFJA7BR0hI,No audio notification at all,Selbsterklärend.
R_2qJWwhP8L0JTDwc,No audio notification at all,it's unprofessional and distracting to get notifications during a meeting when i am supposed to be actively listening
R_8uqW68lNo50I4DJ,No audio notification at all,"I wouldn't want to be disturbed in the middle of a meeting, even with only the notification sound. It could disrupt my thought process and I might miss certain things that the colleagues have said."
R_8eXdWDp0BXIS3ih,No audio notification at all,have to concentrate
R_2X0TJXeOLFuPfSN,No audio notification at all,I need my full attention on the meeting. 
R_81THo4xsUVpXXcB,No audio notification at all,meetings are important to me and any type of messages are very distracting
R_2FFYkvIS1B2cJA8,No audio notification at all,I am at work - to receive private messages like that is not acceptable at all.
R_2zPlNCUbZ8JpWZB,No audio notification at all,"Firstly, it is completely irrespective with regard to other people in the room, wrong with regard to working ethics and bad-manner. Secondly, I cannot lose focus, while being actively engaged in listening or talking. "
R_8Fa2s5gQHqby1xu,No audio notification at all,"not a time and place for whatsapp, unless actually extremly urgent and than 1"
R_8RkR5LJDCvufjIl,No audio notification at all,no audio while this meeting I could not hear it well and was focused on the meeting that there i no bad ideas
R_8TZerhduC2hcnKy,No audio notification at all,I dont want to be interrupted by this kind of message
R_2dh2IXdUglu1uYV,No audio notification at all,i would use do not disturb mode
R_2j8rLZgGyZGgQoj,No audio notification at all,"I need to be focused, I dont want to be distracted for a bit."
R_8mXGSIvo1Rmwtal,No audio notification at all,"Even with nobody knowing I get a text, it still feels disruptive to the thing I am doing. I do not need to multitask everywhere, especially in social settings."
R_2aNAGlZgflVtY3v,No audio notification at all,it is a professional settings where you sholdnt answer your phone and only focus on the meeting and work
R_8CDe1vDEJ4aMR4g,No audio notification at all,"I would totally mute my phone on a meeting, so any audio notification would distract and annoy me"
R_8jqw8UHg9aIIDRI,No audio notification at all,There should be no interruption during a work-related meating. I might seem distracted 
R_8fj5FFM9mYzJUIB,No audio notification at all,In a meeting I don't need to be disturbed 
R_8kgNWKVqvoxXNDa,🔔 Version 1,No disruption in professional setting
R_8DJWwh7dfICB7Db,🔔 Version 1,Suitable for group discussions
R_8lxiIAjgBh6nS81,🔔 Version 1,The situation seems like I should avoid being distracted.
R_2gMhUIO2rdXJI86,🔔 Version 1,"I'm at a meeting, and this is just a message on when ı will be there. Again, if it were urgent, she could have called me, and ı would have excused myself, but in this scenario, it is unacceptable in the workspace since we are discussing a topic."
R_2dssgsqa4HHmfgN,🔔 Version 1,"To maintain respect for my colleagues and keep up with the continuous flow of the meeting, I choose to wait until the session ends before checking any messages"
R_40YDrxd2bce8vm3,🔔 Version 1,It can remind me of the new message while not disturbing the discussion.
R_2L5aIHwYDvaCUSB,🔔 Version 1,Especially when in conversation the vocal notifications are disruptive and disrespectful to those I am talking to
R_25HmpH2IIzw051s,🔔 Version 1,"If I'm at work, people expect me to be focused so receiving a notifcation, especially a longer one like V.2 or 3 might make me look very inappropriately distracted"
R_2bZQT5azTZaKdY5,🔔 Version 1,Having the audio message talk over the meeting is annoying.
R_73f3igIb2AiZZTg,🔔 Version 1,"During a meeting the vaguity that I spoke about earlier, is way better suited here. It makes one alert but not overly nervous, as the reveal of the name likely would depending on the situation."
R_8JCx6iV1TX1qGQN,🔔 Version 1,"Version 1 ist dezent und trotz der Gespräche noch ganz gut wahrnehmbar. Ich konnte dem gesamten Gespräch trotz der Benachrichtigung folgen. Version 2 und 3 haben meine Aufmerksamkeit zu sehr in Anspruch genommen. Weite und ggf. auch wichtige Teile des Gesprächs habe ich nicht mehr verstanden. In diesem Szenario, in dem mehrere Personen beteiligt und ggf. wichtige Dinge besprochen werden, muss ich maximal konzentriert sein und die Arbeit priorisieren. Auf das Handy kann ich in kurzen Gesprächspausen oder nach dem Meeting immer noch sehen."
R_6neGB6qI64zhSKo,🔔 Version 1,"If the message is important or urgent, I would like to hear some form of audio notification. Version 1 is the only one that I believe is non-intrusive and won't distract me from what I'm currently working on while still getting my attention."
R_2llCBFJ5a18v30L,🗣️ Version 2,ı would want to know who send the massage without it distracts me so much
R_8q9Kfy21k0hl6rF,🗣️ Version 2,It is a good compromise. I can hear the converation and I knaw that an urgent message from Lilly is come
R_8M5L4td0YhESZrq,🗣️🗣️ Version 3,"Wenn Benachrichtigung, dann mit Informationsgehalt"
R_8vYaPDZjNmVualU,🗣️🗣️ Version 3,Most information
R_8TFKoOgxzhVrDgZ,🗣️🗣️ Version 3,"Es handelt sich ja nicht um eine sociale Situation, die ich mir ausgesucht habe und Office Meetings sind meist nicht so produktiv, wie es behauptet wird. Daher kann ich auch gerne die volle Benachrichtigung bekommen... :D"
R_9hzrjMgz9jctbPT,🗣️🗣️ Version 3,I wanna know if this message is urgent and needs urgent reply or not.
