Participant ID,Overall,C. Why Text
R_2jcHCEFJA7BR0hI,No audio notification at all,"Wenn ich Musik höre, dann will ich gar nichts anderes hören."
R_2qJWwhP8L0JTDwc,No audio notification at all,"if there's really an urgent and important scenario, the friend/family can call me instead of dropping a message. i don't like being held hostage to message notifications on my phone"
R_8TZerhduC2hcnKy,No audio notification at all,I dont want to be interrupted by this kind of message
R_8jqw8UHg9aIIDRI,No audio notification at all,"It seems like I want to relax to the music, so I obviously don't want to hear anything that breaks my immersion "
R_8DJWwh7dfICB7Db,🔔 Version 1,it won't disturb my current activities too much.
R_2gMhUIO2rdXJI86,🔔 Version 1,"If I hear the messages, I would feel disturbed and rushed. "
R_2FFYkvIS1B2cJA8,🔔 Version 1,"If I am listening to music, I would not want to be disrupted."
R_2zPlNCUbZ8JpWZB,🔔 Version 1,"Again, given that the message is urgent - after hearing it, I will immediately open and read the notification on my phone. Therefore, the least disruptive notification is enough. However, I worry that I could not catch the message to its entirety if it is displayed fully. "
R_2L5aIHwYDvaCUSB,🔔 Version 1,If I am vibing on my own I don't want some AI voice runinig it
R_8Fa2s5gQHqby1xu,🔔 Version 1,"if im trying to relax, the first option was least annoying"
R_2llCBFJ5a18v30L,🔔 Version 1,"since it is a relaxed environment, I can check the massage myself when I want "
R_2j8rLZgGyZGgQoj,🔔 Version 1,"When there is high background noise, Version 1 is far easier to understand"
R_8mXGSIvo1Rmwtal,🔔 Version 1,"I do not need to get read out the message, the auditory feedback is enough."
R_8CDe1vDEJ4aMR4g,🔔 Version 1,"the read-out notification generally causes more anxiety, so in a relaxing atmosphere, it breaks the vibe"
R_2bZQT5azTZaKdY5,🔔 Version 1,"You're in a situation where checking your phone isn't bothersome, but having a voice message interrupt the music is."
R_8kgNWKVqvoxXNDa,🗣️ Version 2,Simple notification without needing to be disrupted
R_2dh2IXdUglu1uYV,🗣️ Version 2,"sound is simpler, faster"
R_73f3igIb2AiZZTg,🗣️ Version 2,"Because the first one vibes too well with the music, I'd say the second version is still better. "
R_8fj5FFM9mYzJUIB,🗣️ Version 2,I know who is texting
R_6neGB6qI64zhSKo,🗣️ Version 2,"There isn't much I need to focus on so I would prefer the read out, but not the entire message as I am right next to my phone so I'll probably be picking it up anyways to read the message."
R_8M5L4td0YhESZrq,🗣️🗣️ Version 3,Version 1 / das Earcon steht im direkten Konflikt zur Aktivität Musik hören. Eine Sprachausgabe stört den Fluss der Musik weniger.
R_82PiWLNvqNB0Q5a,🗣️🗣️ Version 3,"Since there is no voiceline in the music at the moment, I would prefer to be fully informed here and recieve the notification completely. However, it would also be fine if my phone just lit up instead of the glasses - I presume I would also notice that if I was waiting for Lilly's message / anticipating it."
R_8vYaPDZjNmVualU,🗣️🗣️ Version 3,Most information
R_8uqW68lNo50I4DJ,🗣️🗣️ Version 3,"Due to the loud music playing, the other two options might not be very effective in grabbing my attention"
R_8eXdWDp0BXIS3ih,🗣️🗣️ Version 3,immediate information
R_2X0TJXeOLFuPfSN,🗣️🗣️ Version 3,"If it is important, I want to know what the matter is, instantly. "
R_81THo4xsUVpXXcB,🗣️🗣️ Version 3,its okay to hear the full message if im just chilling 
R_8lxiIAjgBh6nS81,🗣️🗣️ Version 3,"Let's me know if I need to pick up my phone, easy enough to understand in the environment."
R_2dssgsqa4HHmfgN,🗣️🗣️ Version 3,"When I'm listening to music at home alone, I prefer option 3 because I'm in a private space and want the convenience of knowing exactly who texted me and what they said without having to look at my phone"
R_40YDrxd2bce8vm3,🗣️🗣️ Version 3,Because  the music is too loud I can hear the message only in this way.
R_8RkR5LJDCvufjIl,🗣️🗣️ Version 3,Version 2 and 3 are fine but this Ding whatsapp sound is more disturbing than just a voice reading the message
R_2aNAGlZgflVtY3v,🗣️🗣️ Version 3,i want to know what was written in the message not just that  got a message
R_8TFKoOgxzhVrDgZ,🗣️🗣️ Version 3,"Um die gesamte Nachricht zu hören. Gerade bei einer Tätigkeit, in der ich keine Ruhe/Fokus brauche, sondern regulär den Alltag bestreite."
R_25HmpH2IIzw051s,🗣️🗣️ Version 3,"It gives me all the important information and even if I can't understand everything, I can check my phone very easily"
R_9hzrjMgz9jctbPT,🗣️🗣️ Version 3,I wanna know who the person who sent me and whats the message and if it needs immediate attention or reply without me having to get my phone.
R_8q9Kfy21k0hl6rF,🗣️🗣️ Version 3,I`m just alone at home listenig to the music therfore it doesen't disturb the long version
R_8JCx6iV1TX1qGQN,🗣️🗣️ Version 3,"Aufgrund des Settings (allein zuhause, Entspannen zu Musik) muss ich mich nicht auf andere Sachen konzentrieren (allerhöchstens auf die Musik). Außerdem müsste ich aufstehen, um das Handy aufnehmen und die Nachricht lesen und ggf. beantworten zu können. Bei Version 1 ist die Informationsdichte minimal, sodass ich ""Aufwand"" betreiben müsste, ohne zu wissen, ob die Nachricht wirklich wichtig und dringend ist. Bei Version 2 weiß ich zwar, von wem die Nachricht kommt, aber nicht, um was es geht. Auch hier besteht die Chance, dass der ""Aufwand"" nicht gerechtfertigt ist. Daher würde ich Version 3 bevorzugen, bei der ich sowohl den Absender als auch den Inhalt der Nachricht erfahre und direkt entscheiden kann, ob sich der ""Aufwand"" lohnt."
