Participant ID,Timing,Timing Follow,F. Why Timing Text
R_8kgNWKVqvoxXNDa,After I am done shopping,🗣️🗣️ Version 3,Better occasion to pay attention to the full message
R_81THo4xsUVpXXcB,After I am done shopping,🗣️🗣️ Version 3,"shopping for me does not take too much time already, and i cannot immediately answer anyway because my hands are full, so no need to immediately recieve it that moment"
R_2zPlNCUbZ8JpWZB,After I am done shopping,"Not applicable (I chose ""Immediately"" in the previous question).",The above-stated reasons
R_2dh2IXdUglu1uYV,After I am done shopping,🗣️ Version 2,"again, if possible notifications shouldn't play during activities that take priority over looking at a text message no matter how importatnt

if the situation and message of the person is important they would call"
R_8mXGSIvo1Rmwtal,After I am done shopping,🔔 Version 1,"I like doing one thing at a time, which applies to messaging too."
R_8jqw8UHg9aIIDRI,After I am done shopping,🗣️ Version 2,I want to leave that busy envionment and finish my task of carrying the bags home first. At home I can actually reply to the person without being stressed by shopping
R_2X0TJXeOLFuPfSN,Between picking up items on my shopping list,🗣️🗣️ Version 3,"If there is no noise and the notification really is that important, my hands could be busy and i would love the message to be read outloud. "
R_8lxiIAjgBh6nS81,Between picking up items on my shopping list,🗣️🗣️ Version 3,It would be easier to understand if there wasn't an announcement happening.
R_6neGB6qI64zhSKo,Between picking up items on my shopping list,🔔 Version 1,"I would just prefer that the audio does not go off until the announcement message is done. In this case, I think it would be appropriate for the notification to be slightly delayed until a better moment where I can better focus."
R_8M5L4td0YhESZrq,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Auch wieder das gleiche; wenn die Nachricht als wichtig eingestuft wird, dann bitte sofort."
R_8vYaPDZjNmVualU,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Situation allows for notification to appear immediately
R_2jcHCEFJA7BR0hI,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",-
R_2qJWwhP8L0JTDwc,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",--
R_8DJWwh7dfICB7Db,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Shopping in the supermarket is quite relaxing, so I can check messages anytime."
R_8eXdWDp0BXIS3ih,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",all information at once
R_2gMhUIO2rdXJI86,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",Im not doing an important thing so ı can look the message immediatly.
R_2dssgsqa4HHmfgN,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Because I wasn't with anyone, I preferred option 3 for immediate notifications. I could catch up on all the details freely since I wasn't engaged in any social interaction at that moment"
R_40YDrxd2bce8vm3,Immediately,🗣️ Version 2,Make sure i do receive the new message.
R_2FFYkvIS1B2cJA8,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","I don't know, how long I am shopping and since this message is urgent, I want to hear it right away."
R_2L5aIHwYDvaCUSB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",No reason to delay
R_8RkR5LJDCvufjIl,Immediately,🔔 Version 1,Version 1 is fine directly and then I can check the full text later on my phone
R_2llCBFJ5a18v30L,Immediately,🔔 Version 1,ı wanted to be aware that I recieved a massage but I can check the massage later in more relaxed and appropriate time
R_2j8rLZgGyZGgQoj,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I am not doing anything importand and I dont care about advertising. The message doesnt need to wait.
R_2aNAGlZgflVtY3v,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",.
R_8CDe1vDEJ4aMR4g,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","there is no risk of getting hurt when distracted, so immediate notification is not a problem "
R_8TFKoOgxzhVrDgZ,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Ich möchte einfach meine Benachrichtigung im regulären Alltag  sofort mitbekommen. Nur dann nicht, wenn ich einen speziellen Fokus brauche/möchte."
R_25HmpH2IIzw051s,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I want to know immediately that something is up but might miss the offer if the notification is too disruptive
R_2bZQT5azTZaKdY5,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",No reason to delay.
R_73f3igIb2AiZZTg,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",You can choose to put down your bags and check your phone
R_9hzrjMgz9jctbPT,Immediately,🗣️🗣️ Version 3,"Version 3 is good since i wanna know who message me and whats their message and if its urgent and needs urgent attention or reply, Version 3 for delay as i don't like grabbing my phone just to read the message. "
R_8fj5FFM9mYzJUIB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",I don't care about supermarket promotion
R_8uqW68lNo50I4DJ,Once I have collected all items and start walking to the checkout,🗣️🗣️ Version 3,"When I'm done with picking all the items, then I have a few moments to listen to the text message. If I had chosen to hear it in-between picking up items, this would've cause distraction and delayed the task. "
R_8Fa2s5gQHqby1xu,Once I have collected all items and start walking to the checkout,🗣️🗣️ Version 3,i eant the full info
R_82PiWLNvqNB0Q5a,Other:,🗣️🗣️ Version 3,"Since the notification is still important, I wand to recieve it and I will need the info also completely (that is I want to know what she wrote)."
R_8TZerhduC2hcnKy,Other:,🗣️🗣️ Version 3,"not urgent
"
R_8q9Kfy21k0hl6rF,Other:,🗣️🗣️ Version 3,Because then I don't nead to hear about the offer that maybe I would like to buy
R_8JCx6iV1TX1qGQN,Other:,🗣️🗣️ Version 3,"Während des Einkaufs bin ich nicht so konzentriert, dass ich durch eine ausführlichere Benachrichtigung (Version 3) besonders abgelenkt wäre. Weil ich beide Hände voll habe, wäre es auch besonders bequem, wenn die Nachricht vorgelesen würde. Dann könnte ich entscheiden, ob die Nachricht so dringend und wichtig ist, dass ich die Einkaufstüten kurz abstellen sollte. Version 1 und 2 sind wiederum zu wenig informativ; Version 1 würde bei den Hintergrundgeräuschen möglicherweise sogar ganz untergehen."
