Participant ID,Overall,H. Why Text
R_82PiWLNvqNB0Q5a,No audio notification at all,"If I am working on something / studying, then I need to be able to focus on that."
R_8vYaPDZjNmVualU,No audio notification at all,Too disruptive
R_2qJWwhP8L0JTDwc,No audio notification at all,i don't want to be distracted when i am studying
R_8uqW68lNo50I4DJ,No audio notification at all,I wouldn't want to be disturbed at all when I'm trying to study. 
R_81THo4xsUVpXXcB,No audio notification at all,if im studying that moment i dont want to have distractions
R_8TZerhduC2hcnKy,No audio notification at all,I dont want to be interrupted by this kind of message
R_2dh2IXdUglu1uYV,No audio notification at all,i would use do not disturb
R_8TFKoOgxzhVrDgZ,No audio notification at all,"Da ich mit meinem ADHS so schon genug Probleme habe, mich zu konzentrieren und öffentliche Räume das erschweren, brauche ich weder eine direkte Benachrichtigung um mich noch mehr zu stören oder gar dazu zu bewegen, aufs Handy zu schauen."
R_8jqw8UHg9aIIDRI,No audio notification at all,"It's way too loud already, questionable place choice for studying"
R_2jcHCEFJA7BR0hI,🔔 Version 1,"Ich finde dieses 'Ding' schon äußerst hilfreich. In Version 2 und 3 gab es diesmal kein 'Ding' vorweg. Das fand ich nicht so gut, um die Dinge im Kopf auch zu separieren."
R_8eXdWDp0BXIS3ih,🔔 Version 1,I am studying
R_2gMhUIO2rdXJI86,🔔 Version 1,still ı will prefer a ring.
R_2dssgsqa4HHmfgN,🔔 Version 1,"To avoid disturbing people around me in a quiet cafe, I prefer just a simple notification sound without reading out the details"
R_2L5aIHwYDvaCUSB,🔔 Version 1,All necessary information is conveyed
R_8RkR5LJDCvufjIl,🔔 Version 1,I noticed that it can be hard to understand the full sentence if you are in a loud caffee like this with music and voices.
R_8mXGSIvo1Rmwtal,🔔 Version 1,I do not have my phone on me while studying at home because I find notifications distracting. 
R_8kgNWKVqvoxXNDa,🗣️ Version 2,Simple notification
R_8DJWwh7dfICB7Db,🗣️ Version 2,It is clear
R_8lxiIAjgBh6nS81,🗣️ Version 2,Let's me know what kind of message it is and when I have my laptop open I can quickly check the contents and answer accordingly.
R_40YDrxd2bce8vm3,🗣️ Version 2,I can know who send the message and decide whether check it or not.
R_2zPlNCUbZ8JpWZB,🗣️ Version 2,"I cannot concentrate fully when working in a loud or distracting environment. But for me that also means that it is easy for me to lose attention to messages. Given the urgency and importance f the message, I would want to hear it immediately and respond as quick.  "
R_2llCBFJ5a18v30L,🗣️ Version 2,ı would not want to be distracted from my work but still it is better to know the sender so I can decide if I want to stop and check the massage or I can reply later 
R_2j8rLZgGyZGgQoj,🗣️ Version 2,"Not too much information but also not too little. I can look at my phone when I feel like it, to read the message"
R_73f3igIb2AiZZTg,🗣️ Version 2,Second version because name information
R_8fj5FFM9mYzJUIB,🗣️ Version 2,I know who is texting
R_6neGB6qI64zhSKo,🗣️ Version 2,"In this context, because nobody is speaking and nothing is going on, I would be okay with version 2 as it gives be slightly more information without being too distracting."
R_8M5L4td0YhESZrq,🗣️🗣️ Version 3,"Eigentlich das gleiche wie zuvor, wenn dann bitte mit Information."
R_2X0TJXeOLFuPfSN,🗣️🗣️ Version 3,"The message is truly important and i am able to fully understand it. So, having it read outloud is, in my opinion, the preferrable option. "
R_2FFYkvIS1B2cJA8,🗣️🗣️ Version 3,"I am not interacting with anyone and do not have to concentrate on someone speaking, so it is fine to hear the whole thing."
R_8Fa2s5gQHqby1xu,🗣️🗣️ Version 3,i prefer the third because i woudnt have to break my focus from my work to look at my phone
R_2aNAGlZgflVtY3v,🗣️🗣️ Version 3,because its more like a person said that to me than that i just recieved a message
R_8CDe1vDEJ4aMR4g,🗣️🗣️ Version 3,"im not too busy, so full message is alright"
R_25HmpH2IIzw051s,🗣️🗣️ Version 3,"I'm in a situation where I'm not stressed or very busy, so I can focus on the content of the message and don't need to check my phone etc. Ver. 1 blend too much into the environment and Ver. 2 doesn't have the additional benefit of telling me what the message is about. Ver. 3 combines a fitting level of information and ""stands out"" enough for me to notice"
R_2bZQT5azTZaKdY5,🗣️🗣️ Version 3,No need to check WhatsApp.
R_9hzrjMgz9jctbPT,🗣️🗣️ Version 3,I still wanna know the whole message when i receive it to know if it needs immediate attention or reply or not.
R_8q9Kfy21k0hl6rF,🗣️🗣️ Version 3,"If I am studying I actually don't want to be desturbed at all. But if it is so important I ""need"" to be desturbed. By hearing the message I can maybe continue to read for a Minute before taking the phone and knaw the message (and than respond)"
R_8JCx6iV1TX1qGQN,🗣️🗣️ Version 3,"Version 1 geht bei den Hintergrundgeräuschen unter. Ich hätte die Benachrichtigung vermutlich nicht wahrgenommen. Version 2 und 3 würde ich hier in etwa gleich ""störend"" einstufen, weil die Umgebung (Kunden, Personal, Geräusche, Musik) ohnehin schon vom Lernen ablenkt. Daher würde ich mich in diesem Szenario eher für die Version 3 entscheiden: Sie ist ähnlich störend wie Version 2, enthält aber mehr Informationen."
