Participant ID,Overall,I. Why Text
R_2qJWwhP8L0JTDwc,No audio notification at all,the idea of me being privately distracted by notifications that my friend can't also hear feels disingenuous and weird
R_2zPlNCUbZ8JpWZB,No audio notification at all,"It seems rude to my friend with whom I am in the room. And I would never look at my phone in that case, unless the 'social convention' would allow that (i.e. when the friend leaves the room, also has to check her messages or is gone)."
R_8Fa2s5gQHqby1xu,No audio notification at all,"no matter which notification it was, it was always taking my attention away from the conversation at hand"
R_8TZerhduC2hcnKy,No audio notification at all,I dont want to be interrupted by this kind of message
R_8TFKoOgxzhVrDgZ,No audio notification at all,"Wenn ich mich mit Personen treffe, möchte ich denen meine Aufmerksamkeit nach meinen Bedigungen schenken. Sollte ich Nachrichten etc bekommen, reicht eine Vibration. Direkter Eingriff der Technik sollte mich nicht aus meinem Fokus zur anderen Person reißen, auch falls diese mal ein paar Sekunden ans Handy geht. Die Entscheidung, was ich in der Zeit mache und wie ist mir wichtig."
R_8jqw8UHg9aIIDRI,No audio notification at all,"When I'm meeting a friend, I find it sort of rude to have notifications turned on"
R_82PiWLNvqNB0Q5a,🔔 Version 1,"It would feel rude to recieve another type of notification while in conversation with my friend - even thought she is looking something up on her phone, I still want to focus on this interaction."
R_2jcHCEFJA7BR0hI,🔔 Version 1,"Ist ok, wenn Jessica sowieso an ihrem Telefon etwas checkt."
R_2X0TJXeOLFuPfSN,🔔 Version 1,"While the person was silent for a second and the glasses maybe deduced that the pause was appropriate to display the notification, I think it is really hard to predict when the other person might start speaking again, and there is a risk of me loosing track of the conversation because of the second and third notifications. "
R_81THo4xsUVpXXcB,🔔 Version 1,notification sound is okay but reading message out loud can be too distrupting
R_2gMhUIO2rdXJI86,🔔 Version 1,I'm talking with a friend. I want to have all of my focus on her.
R_40YDrxd2bce8vm3,🔔 Version 1,I can hear the voice clearly.
R_2FFYkvIS1B2cJA8,🔔 Version 1,Clearly I am in an conversation with someone and don't want my focus to shift.
R_2L5aIHwYDvaCUSB,🔔 Version 1,In conversation private vocal notifications are disruptive and disrespectful
R_2llCBFJ5a18v30L,🔔 Version 1,since it is a brief pause in the conversation I can check my phone after I know that I recieved a massage 
R_2dh2IXdUglu1uYV,🔔 Version 1,"i dont like my devices forcing me to hear something, im already abrasive towards version 1 but i also tend to keep all my notifications completely off and only get top priority notifications through a silent very short vibration on a hybrid smartwatch i have. "
R_8mXGSIvo1Rmwtal,🔔 Version 1,I want to not be disturbed while hanging out with friends.
R_2aNAGlZgflVtY3v,🔔 Version 1,it is not polite to read messages when you are talking to someone
R_8CDe1vDEJ4aMR4g,🔔 Version 1,"I can get my phone at any time, it would feel disruptive and disrespectful to my guest. "
R_8fj5FFM9mYzJUIB,🔔 Version 1,Easy to notice the bell
R_6neGB6qI64zhSKo,🔔 Version 1,"As I am currently in the middle of the conversation, I rather would not have the message read out at all as it doesn't feel socially acceptable, even if there's a slight break in the conversation."
R_8vYaPDZjNmVualU,🗣️ Version 2,Least disruptive
R_8kgNWKVqvoxXNDa,🗣️ Version 2,Simple and clear notification
R_8DJWwh7dfICB7Db,🗣️ Version 2,It enables me to know about messages quickly.
R_8lxiIAjgBh6nS81,🗣️ Version 2,If someone else checks their phone I might as well check too.
R_2dssgsqa4HHmfgN,🗣️ Version 2,"I preferred option 2 because knowing the sender was enough to tell me if it was urgent, allowing me to be polite and not get distracted by the full text"
R_2j8rLZgGyZGgQoj,🗣️ Version 2,"I Know who wrote a message, I can look It up when I feel like having the time and I can  already evaluate the urgency, by knowing who it is."
R_25HmpH2IIzw051s,🗣️ Version 2,"It feels a bit rude to - while in direct 1 on 1 conversation with someone else - do receive a longer notification and I wouldn't want to seem too distracted. I would like to know who the message is from so i can determine if I should check for example my phone for its contents, but I can then do so after I politely excuse myself"
R_73f3igIb2AiZZTg,🗣️ Version 2,Gives info about the name and it's not too long
R_8M5L4td0YhESZrq,🗣️🗣️ Version 3,"Die Unterhaltung pausiert zwar kurz, dennoch ist man ja in einem Gespräch. Wenn man also benachrichtigt wird, dann bitte präzise und mit Informationsgehalt."
R_8uqW68lNo50I4DJ,🗣️🗣️ Version 3,"Since there's pause I won't be missing anything that Jessica might be saying, so I can be notified of the text message. "
R_8eXdWDp0BXIS3ih,🗣️🗣️ Version 3,don't have to look up message (its content) anymore
R_8RkR5LJDCvufjIl,🗣️🗣️ Version 3,I believe it is cool that you can hear it and my friend had to use her phone to check it which stopped our conversation while for me she didn't even notice me checking the notification
R_2bZQT5azTZaKdY5,🗣️🗣️ Version 3,"Receiving the full message means you don't need to do anything else, whereas vers1 or 2 distract you by causing you to get out your phone or at least think about what the message might be. Therefore vers3 is actually the least disruptive."
R_9hzrjMgz9jctbPT,🗣️🗣️ Version 3,"Even though im talking to someone or in the middle of something, as a very paranoid person and afraid of missing out about some messages thats important that i always missed. I really need to get the full message without having to look on my phone to see if i really need to reply right away or not."
R_8q9Kfy21k0hl6rF,🗣️🗣️ Version 3,Because It`s not desturbing ans I want to hear the short message
R_8JCx6iV1TX1qGQN,🗣️🗣️ Version 3,"In dem Szenario ist meine Gesprächspartnerin selbst abgelenkt bzw. beschäftigt und das Gespräch pausiert. Daher macht es keinen Unterschied, welche Art von Benachrichtigung ich in diesem Moment erhalte, solange das Gespräch noch nicht wieder aufgenommen wurde. Die Benachrichtigung überbrückt sogar die Stille, in der ich ohnehin nicht gewusst hätte, was ich hätte tun sollen. Da das Gespräch nach der Benachrichtigung aber gleich wieder fortgesetzt werden könnte, wäre es gut zu wissen, von wem die Nachricht kommt und um was es geht, um deren Wichtigkeit und Dringlichkeit einschätzen zu können. So muss ich die Gesprächspause nicht unnötigerweise verlängern, um auf das Handy zu sehen, falls die Nachricht nicht wichtig oder dringlich ist."
